BayID,DeviceID,Description1,Description2,Description3,Description4,Description5,Description6,DisabilityExt1,DisabilityExt2,DisabilityExt3,DisabilityExt4,DisabilityExt5,DisabilityExt6,Duration1,Duration2,Duration3,Duration4,Duration5,Duration6,EffectiveOnPH1,EffectiveOnPH2,EffectiveOnPH3,EffectiveOnPH4,EffectiveOnPH5,EffectiveOnPH6,EndTime1,EndTime2,EndTime3,EndTime4,EndTime5,EndTime6,Exemption1,Exemption2,Exemption3,Exemption4,Exemption5,Exemption6,FromDay1,FromDay2,FromDay3,FromDay4,FromDay5,FromDay6,StartTime1,StartTime2,StartTime3,StartTime4,StartTime5,StartTime6,ToDay1,ToDay2,ToDay3,ToDay4,ToDay5,ToDay6,TypeDesc1,TypeDesc2,TypeDesc3,TypeDesc4,TypeDesc5,TypeDesc6
1441,29020,2P MTR M-SAT 7:30-20:30,2P SUN 7:30-18:30,,,,,240,240,,,,,120,120,,,,,0,0,,,,,0001-01-02T06:33:52+10:05,0001-01-02T04:33:52+10:05,,,,,,,,,,,1,0,,,,,0001-01-01T17:33:52+10:05,0001-01-01T17:33:52+10:05,,,,,6,0,,,,,2P Meter,2P,,,,
9057,30054,2P MTR M-SAT 7:30-18:30,2P SUN 7:30-18:30,,,,,240,240,,,,,120,120,,,,,0,0,,,,,0001-01-02T04:33:52+10:05,0001-01-02T04:33:52+10:05,,,,,,,,,,,1,0,,,,,0001-01-01T17:33:52+10:05,0001-01-01T17:33:52+10:05,,,,,6,0,,,,,2P Meter,2P,,,,
4844,30507,2P MTR M-F 7:30-18:30,,,,,,240,,,,,,120,,,,,,0,,,,,,0001-01-02T04:33:52+10:05,,,,,,,,,,,,1,,,,,,0001-01-01T17:33:52+10:05,,,,,,5,,,,,,2P Meter,,,,,
6104,30079,2P MTR M-SAT 7:30-18:30,2P SUN 7:30-18:30,,,,,240,240,,,,,120,120,,,,,0,0,,,,,0001-01-02T04:33:52+10:05,0001-01-02T04:33:52+10:05,,,,,,,,,,,1,0,,,,,0001-01-01T17:33:52+10:05,0001-01-01T17:33:52+10:05,,,,,6,0,,,,,2P Meter,2P,,,,
5049,30093,2P MTR M-SAT 7:30-18:30,2P SUN 7:30-18:30,,,,,240,240,,,,,120,120,,,,,0,0,,,,,0001-01-02T04:33:52+10:05,0001-01-02T04:33:52+10:05,,,,,,,,,,,1,0,,,,,0001-01-01T17:33:52+10:05,0001-01-01T17:33:52+10:05,,,,,6,0,,,,,2P Meter,2P,,,,
1235,25965,1P MTR M-F 10:00-16:00,2P MTR M-F 19:00-20:30,1P MTR SAT 7.30-6.30PM,2P MTR SAT 6.30PM - 8.30PM,,,120,240,120,240,,,60,120,60,120,,,0,0,0,0,,,0001-01-02T02:03:52+10:05,0001-01-02T06:33:52+10:05,0001-01-02T04:33:52+10:05,0001-01-02T06:33:52+10:05,,,,,,,,,1,1,6,6,,,0001-01-01T20:03:52+10:05,0001-01-02T05:03:52+10:05,0001-01-01T17:33:52+10:05,0001-01-02T04:33:52+10:05,,,5,5,6,6,,,1P Meter,2P Meter,1P Meter,2P Meter,,
2684,25018,1P MTR M-F 7:30-18:30,1P MTR SAT 7:30-12:30,,,,,120,120,,,,,60,60,,,,,0,0,,,,,0001-01-02T04:33:52+10:05,0001-01-01T22:33:52+10:05,,,,,,,,,,,1,6,,,,,0001-01-01T17:33:52+10:05,0001-01-01T17:33:52+10:05,,,,,5,6,,,,,1P Meter,1P Meter,,,,
8224,25612,1P M-SUN 7:30-23:00,,,,,,120,,,,,,60,,,,,,1,,,,,,0001-01-02T09:03:52+10:05,,,,,,,,,,,,1,,,,,,0001-01-01T17:33:52+10:05,,,,,,0,,,,,,1P,,,,,
6194,30081,2P MTR M-SAT 7:30-18:30,2P SUN 7:30-18:30,,,,,240,240,,,,,120,120,,,,,0,0,,,,,0001-01-02T04:33:52+10:05,0001-01-02T04:33:52+10:05,,,,,,,,,,,1,0,,,,,0001-01-01T17:33:52+10:05,0001-01-01T17:33:52+10:05,,,,,6,0,,,,,2P Meter,2P,,,,
8504,27879,2P RPA 1B 7:30-23:00 M-SUN,,,,,,240,,,,,,120,,,,,,1,,,,,,0001-01-02T09:03:52+10:05,,,,,,Resident Permit Area 1B,,,,,,1,,,,,,0001-01-01T17:33:52+10:05,,,,,,0,,,,,,2P,,,,,
